
Entering STAGE 100
[  Borge]:	[HP:   870.57/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 36810.0/36810.0] [AP: 263.18] [Speed: 9.50] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	[PRESENCE OF A GOD] 30%
[E100  1]:	[HP: 25767.0/36810.0] [AP: 263.18] [Speed: 9.50] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	[HP:   783.29/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 9544.11/36810.0] [AP: 263.18] [Speed: 6.60] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   7.96
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.90
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.84
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 9459.71 left
[  Borge]:	STEAL	   3.04
[  Borge]:	REGEN	   7.75
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.69
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 594.79 (crit)
[  Borge]:	TAKE	  87.28, 738.18 left
[E100  1]:	TAKE	   0.66, 9489.47 left
[E100  1]:	ENRAGE	  62.00 stacks
[  Borge]:	[HP:   738.18/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 9489.47/36810.0] [AP: 263.18] [Speed: 6.55] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.32
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 9223.82 left
[  Borge]:	STEAL	   6.56
[E100  1]:	STUNNED	   0.50 sec
[  Borge]:	[LOTH]	  88.69
[  Borge]:	REGEN	   7.50
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.44
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.38
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   6.50
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 9003.79 left
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 756.98 left
[E100  1]:	TAKE	   0.86, 9002.93 left
[E100  1]:	ENRAGE	  63.00 stacks
[  Borge]:	[HP:   756.98/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 9002.93/36810.0] [AP: 263.18] [Speed: 6.51] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.17
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.11
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.04
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 8767.70 left
[  Borge]:	STEAL	   6.56
[  Borge]:	REGEN	   7.93
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.86
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 690.07 left
[E100  1]:	TAKE	   0.86, 8797.25 left
[E100  1]:	ENRAGE	  64.00 stacks
[  Borge]:	[HP:   690.07/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 8797.25/36810.0] [AP: 263.18] [Speed: 6.46] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.71
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 8531.60 left
[  Borge]:	STEAL	   6.56
[  Borge]:	REGEN	   8.59
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.52
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.45
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.38
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 8462.41 left
[  Borge]:	STEAL	   3.04
[  Borge]:	[LOTH]	  41.06
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 669.79 left
[E100  1]:	TAKE	   0.86, 8461.55 left
[E100  1]:	ENRAGE	  65.00 stacks
[  Borge]:	[HP:   669.79/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 8461.55/36810.0] [AP: 263.18] [Speed: 6.41] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.87
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.80
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.73
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 8377.15 left
[  Borge]:	STEAL	   3.04
[E100  1]:	STUNNED	   0.50 sec
[  Borge]:	REGEN	   8.64
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.57
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	EVADE
[E100  1]:	ENRAGE	  66.00 stacks
[  Borge]:	[HP:   716.43/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 8407.57/36810.0] [AP: 263.18] [Speed: 6.87] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.50
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 8292.75 left
[  Borge]:	STEAL	   3.04
[E100  1]:	STUNNED	   0.50 sec
[  Borge]:	[LOTH]	  41.06
[  Borge]:	REGEN	   8.08
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.01
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.95
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.88
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 8223.56 left
[  Borge]:	STEAL	   3.04
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 690.40 left
[E100  1]:	TAKE	   0.86, 8222.69 left
[E100  1]:	ENRAGE	  67.00 stacks
[  Borge]:	[HP:    690.4/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 8222.69/36810.0] [AP: 263.18] [Speed: 6.32] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.71
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.64
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.57
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 8138.30 left
[  Borge]:	STEAL	   3.04
[  Borge]:	REGEN	   8.47
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.41
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 622.65 left
[E100  1]:	TAKE	   0.86, 8167.85 left
[E100  1]:	ENRAGE	  68.00 stacks
[  Borge]:	[HP:   622.65/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 8167.85/36810.0] [AP: 263.18] [Speed: 6.27] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   9.25
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 8053.03 left
[  Borge]:	STEAL	   3.04
[  Borge]:	[LOTH]	  41.06
[  Borge]:	REGEN	   8.82
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.75
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.68
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.61
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 7833.01 left
[  Borge]:	STEAL	   6.56
[  Borge]:	[LOTH]	  88.69
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 692.53 left
[E100  1]:	TAKE	   0.86, 7832.15 left
[E100  1]:	ENRAGE	  69.00 stacks
[  Borge]:	[HP:   692.53/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 7832.15/36810.0] [AP: 263.18] [Speed: 6.22] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.69
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.62
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.55
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 7747.75 left
[  Borge]:	STEAL	   3.04
[  Borge]:	[LOTH]	  41.06
[  Borge]:	REGEN	   8.13
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.06
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 594.79 (crit)
[  Borge]:	TAKE	  87.28, 691.40 left
[E100  1]:	TAKE	   0.66, 7777.50 left
[E100  1]:	ENRAGE	  70.00 stacks
[  Borge]:	[HP:    691.4/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:  7777.5/36810.0] [AP: 263.18] [Speed: 6.17] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.70
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 7662.68 left
[  Borge]:	STEAL	   3.04
[  Borge]:	[LOTH]	  41.06
[  Borge]:	REGEN	   8.28
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.21
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.14
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.08
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 7593.49 left
[  Borge]:	STEAL	   3.04
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 666.36 left
[E100  1]:	TAKE	   0.86, 7592.63 left
[E100  1]:	ENRAGE	  71.00 stacks
[  Borge]:	[HP:   666.36/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 7592.63/36810.0] [AP: 263.18] [Speed: 6.13] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.90
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.83
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.76
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 7508.23 left
[  Borge]:	STEAL	   3.04
[  Borge]:	REGEN	   8.66
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.59
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 599.54 left
[E100  1]:	TAKE	   0.86, 7537.79 left
[E100  1]:	ENRAGE	  72.00 stacks
[  Borge]:	[HP:   599.54/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 7537.79/36810.0] [AP: 263.18] [Speed: 6.08] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   9.43
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 7422.97 left
[  Borge]:	STEAL	   3.04
[  Borge]:	REGEN	   9.33
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   9.26
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   9.18
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   9.11
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 535.31 left
[E100  1]:	TAKE	   0.86, 7482.94 left
[E100  1]:	ENRAGE	  73.00 stacks
[  Borge]:	[HP:   535.31/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 7482.94/36810.0] [AP: 263.18] [Speed: 6.03] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 7352.92 left
[  Borge]:	STEAL	   3.04
[  Borge]:	REGEN	   9.92
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   9.84
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   9.76
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   9.69
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 7283.73 left
[  Borge]:	STEAL	   3.04
[  Borge]:	REGEN	   9.58
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 476.60 left
[E100  1]:	TAKE	   0.86, 7298.07 left
[E100  1]:	ENRAGE	  74.00 stacks
[  Borge]:	[HP:    476.6/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 7298.07/36810.0] [AP: 263.18] [Speed: 5.98] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  10.42
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  10.33
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 7047.63 left
[  Borge]:	STEAL	   6.56
[E100  1]:	STUNNED	   0.50 sec
[  Borge]:	REGEN	  10.20
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  10.12
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 410.64 left
[E100  1]:	TAKE	   0.86, 7077.19 left
[E100  1]:	ENRAGE	  75.00 stacks
[  Borge]:	[HP:   410.64/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 7077.19/36810.0] [AP: 263.18] [Speed: 5.94] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  10.94
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 6962.37 left
[  Borge]:	STEAL	   3.04
[  Borge]:	[LOTH]	  41.06
[  Borge]:	REGEN	  10.50
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  10.42
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  10.34
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 383.36 left
[E100  1]:	TAKE	   0.86, 7007.13 left
[E100  1]:	ENRAGE	  76.00 stacks
[  Borge]:	[HP:   383.36/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 7007.13/36810.0] [AP: 263.18] [Speed: 5.89] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  11.16
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 6892.31 left
[  Borge]:	STEAL	   3.04
[  Borge]:	REGEN	  11.05
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  10.96
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  10.87
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 316.85 left
[E100  1]:	TAKE	   0.86, 6937.08 left
[E100  1]:	ENRAGE	  77.00 stacks
[  Borge]:	[HP:   316.85/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 6937.08/36810.0] [AP: 263.18] [Speed: 5.84] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  11.69
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 6671.43 left
[  Borge]:	STEAL	   6.56
[  Borge]:	REGEN	  11.55
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  11.46
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  11.36
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 255.89 left
[E100  1]:	TAKE	   0.86, 6716.19 left
[E100  1]:	ENRAGE	  78.00 stacks
[  Borge]:	[HP:   255.89/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 6716.19/36810.0] [AP: 263.18] [Speed: 5.79] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  12.18
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 6450.54 left
[  Borge]:	STEAL	   6.56
[  Borge]:	REGEN	  12.03
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  11.94
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  11.84
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 196.86 left
[E100  1]:	TAKE	   0.86, 6495.31 left
[E100  1]:	ENRAGE	  79.00 stacks
[  Borge]:	[HP:   196.86/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 6495.31/36810.0] [AP: 263.18] [Speed: 5.75] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  12.65
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 6380.49 left
[  Borge]:	STEAL	   3.04
[  Borge]:	REGEN	  12.53
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  12.43
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  12.33
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	EVADE
[E100  1]:	ENRAGE	  80.00 stacks
[  Borge]:	[HP:   249.84/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 6426.12/36810.0] [AP: 263.18] [Speed: 5.70] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  12.23
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 6311.30 left
[  Borge]:	STEAL	   3.04
[  Borge]:	REGEN	  12.11
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  12.01
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  11.92
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 187.56 left
[E100  1]:	TAKE	   0.86, 6356.06 left
[E100  1]:	ENRAGE	  81.00 stacks
[  Borge]:	[HP:   187.56/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 6356.06/36810.0] [AP: 263.18] [Speed: 5.65] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  12.73
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 6241.24 left
[  Borge]:	STEAL	   3.04
[  Borge]:	[LOTH]	  41.06
[  Borge]:	REGEN	  12.27
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  12.18
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  12.08
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 167.33 left
[E100  1]:	TAKE	   0.86, 6286.01 left
[E100  1]:	ENRAGE	  82.00 stacks
[  Borge]:	[HP:   167.33/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 6286.01/36810.0] [AP: 263.18] [Speed: 5.61] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  12.89
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 6171.19 left
[  Borge]:	STEAL	   3.04
[  Borge]:	REGEN	  12.76
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  12.66
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  12.56
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	EVADE
[E100  1]:	ENRAGE	  83.00 stacks
[  Borge]:	[HP:   221.24/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 6216.82/36810.0] [AP: 263.18] [Speed: 5.56] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  12.46
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 5951.17 left
[  Borge]:	STEAL	   6.56
[E100  1]:	STUNNED	   0.50 sec
[  Borge]:	REGEN	  12.31
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  12.21
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  12.11
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 163.30 left
[E100  1]:	TAKE	   0.86, 5995.93 left
[E100  1]:	ENRAGE	  84.00 stacks
[  Borge]:	[HP:    163.3/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 5995.93/36810.0] [AP: 263.18] [Speed: 5.51] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  12.92
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 5881.11 left
[  Borge]:	STEAL	   3.04
[  Borge]:	[LOTH]	  41.06
[  Borge]:	REGEN	  12.47
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  12.37
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  12.27
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 594.79 (crit)
[  Borge]:	TAKE	  87.28, 170.14 left
[E100  1]:	TAKE	   0.66, 5926.08 left
[E100  1]:	ENRAGE	  85.00 stacks
[  Borge]:	[HP:   170.14/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 5926.08/36810.0] [AP: 263.18] [Speed: 5.46] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  12.87
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 5811.26 left
[  Borge]:	STEAL	   3.04
